"RoundNumber","HomeTeam","AwayTeam","Winner","HomeProbability","VenueName","PredictedMargin"
0,"Sydney","Carlton","Sydney",0.695298296,"SCG",11.34631574
0,"Gold Coast","Geelong","Geelong",0.460600321,"People First Stadium",-9.876953573
0,"GWS","Hawthorn","Hawthorn",0.471120977,"ENGIE Stadium",-7.248137029
0,"Brisbane Lions","Footscray","Brisbane Lions",0.537788102,"Gabba",9.474893894
0,"St Kilda","Collingwood","Collingwood",0.274612563,"MCG",-18.77029844
1,"Carlton","Richmond","Carlton",0.820609252,"MCG",31.91230107
1,"Essendon","Hawthorn","Hawthorn",0.167004667,"MCG",-34.74198733
1,"Footscray","GWS","Footscray",0.777931471,"Marvel Stadium",21.81958516
1,"Geelong","Fremantle","Geelong",0.762997606,"GMHBA Stadium",18.18591128
1,"Sydney","Brisbane Lions","Brisbane Lions",0.486176022,"SCG",-3.473252525
1,"Collingwood","Adelaide","Collingwood",0.730232079,"MCG",10.08452389
1,"North Melbourne","Port Adelaide","Port Adelaide",0.267335654,"Marvel Stadium",-10.69064259
1,"Melbourne","St Kilda","Melbourne",0.749819661,"MCG",14.94598154
1,"Gold Coast","West Coast","Gold Coast",0.916497232,"People First Stadium",52.24140533
2,"Hawthorn","Sydney","Hawthorn",0.784684135,"MCG",23.44733832
2,"Adelaide","Footscray","Adelaide",0.515282048,"Adelaide Oval",3.839322274
2,"Richmond","Gold Coast","Gold Coast",0.230836754,"MCG",-19.6914302
2,"GWS","St Kilda","GWS",0.7396382,"ENGIE Stadium",12.42493828
2,"Fremantle","Melbourne","Fremantle",0.741386529,"Optus Stadium",12.85881991
2,"Port Adelaide","Essendon","Port Adelaide",0.770996973,"Adelaide Oval",20.1377876
2,"West Coast","North Melbourne","North Melbourne",0.269275926,"Optus Stadium",-10.20717724
3,"Geelong","Adelaide","Geelong",0.628193908767189,"GMHBA Stadium",10.6301202523676
3,"Collingwood","GWS","GWS",0.452109971225123,"Marvel Stadium",-7.4942008009387
3,"St Kilda","Brisbane Lions","Brisbane Lions",0.493168506229946,"Marvel Stadium",-1.07300615516071
3,"Fremantle","Richmond","Fremantle",0.734111800452364,"Optus Stadium",26.0058679838896
3,"Essendon","North Melbourne","Essendon",0.54959924284944,"Marvel Stadium",7.75954131188395
3,"Port Adelaide","West Coast","Port Adelaide",0.784174638620106,"Adelaide Oval",38.9403281556895
3,"Carlton","Melbourne","Carlton",0.53116894925201,"MCG",4.88818674129265
4,"Brisbane Lions","Collingwood","Brisbane Lions",0.703421383280711,"Gabba",21.774006312826
4,"North Melbourne","Carlton","North Melbourne",0.664274623541191,"Marvel Stadium",16.0880302170489
4,"Adelaide","Fremantle","Fremantle",0.362419470310443,"Adelaide Oval",-12.0660291492799
4,"Richmond","Port Adelaide","Port Adelaide",0.455919108970087,"MCG",-6.90209944459455
4,"West Coast","Sydney","Sydney",0.331818939299257,"Optus Stadium",-16.6677940777076
4,"Melbourne","Gold Coast","Melbourne",0.674422155442545,"MCG",17.5888050939211
4,"Footscray","Essendon","Footscray",0.842021715080508,"Marvel Stadium",43.967439854241
4,"Hawthorn","Geelong","Geelong",0.49495950831189,"MCG",-0.791725494045162
5,"Adelaide","Carlton","Adelaide",0.562308855068139,"Adelaide Oval",2.8239
5,"Collingwood","Fremantle","Fremantle",0.479372442392055,"Adelaide Oval",-3.0524665
5,"North Melbourne","Brisbane Lions","Brisbane Lions",0.366404385629605,"Barossa Park",-11.117353
5,"Essendon","Melbourne","Melbourne",0.253199301751164,"Adelaide Oval",-24.001975
5,"Sydney","Gold Coast","Sydney",0.522023314145186,"Norwood Oval",4.6422685
5,"Hawthorn","Footscray","Footscray",0.440441962756144,"Adelaide Oval",-4.4608215
5,"Geelong","West Coast","Geelong",0.79331507000764,"Norwood Oval",33.590173
5,"GWS","Richmond","GWS",0.729278677412303,"Barossa Park",21.388483
5,"Port Adelaide","St Kilda","Port Adelaide",0.632350325591824,"Adelaide Oval",16.69254
6,"Carlton","Collingwood","Carlton",0.576965632631136,"MCG",7.375212
6,"Geelong","Footscray","Geelong",0.723261760494316,"GMHBA Stadium",18.0143315
6,"Sydney","GWS","Sydney",0.728102765883762,"SCG",19.349384
6,"Gold Coast","Essendon","Gold Coast",0.850549904722573,"People First Stadium",42.493945
6,"Hawthorn","Port Adelaide","Hawthorn",0.790218823749027,"Marvel Stadium",33.52369
6,"Adelaide","St Kilda","Adelaide",0.605943743685487,"Adelaide Oval",4.3032215
6,"North Melbourne","Richmond","North Melbourne",0.746874272175189,"Marvel Stadium",21.3936835
6,"Melbourne","Brisbane Lions","Brisbane Lions",0.454223849510507,"MCG",0.205506499999999
6,"West Coast","Fremantle","Fremantle",0.212438959487226,"Optus Stadium",-30.8084185
