Game,Date,Round,Home.Team,Home.Goals,Home.Behinds,Home.Points,Away.Team,Away.Goals,Away.Behinds,Away.Points,Margin,Season,Round.Type,Round.Number,seas_rnd,Venue,hInside.50s,hMarks.Inside.50,hTackles,hOne.Percenters,aInside.50s,aMarks.Inside.50,aTackles,aOne.Percenters
14581,2/4/2015,R1,Carlton,11,12,78,Richmond,15,15,105,-27,2015,Regular,01,201501,MCG,54,12,10,39,54,12,10,39
14582,4/4/2015,R1,Melbourne,17,13,115,Gold Coast,13,11,89,26,2015,Regular,01,201501,MCG,47,16,11,45,47,16,11,45
14583,4/4/2015,R1,Sydney,10,12,72,Essendon,9,6,60,12,2015,Regular,01,201501,Accor Stadium,44,2,10,50,44,2,10,50
14584,4/4/2015,R1,Brisbane Lions,11,8,74,Collingwood,12,14,86,-12,2015,Regular,01,201501,Gabba,60,17,9,53,60,17,9,53
14585,4/4/2015,R1,Footscray,14,13,97,West Coast,14,3,87,10,2015,Regular,01,201501,Marvel Stadium,40,10,12,42,40,10,12,42
14586,5/4/2015,R1,St Kilda,11,12,78,GWS,12,15,87,-9,2015,Regular,01,201501,Marvel Stadium,52,10,5,51,52,10,5,51
14587,5/4/2015,R1,Adelaide,21,14,140,North Melbourne,9,9,63,77,2015,Regular,01,201501,Adelaide Oval,47,6,8,30,47,6,8,30
14588,5/4/2015,R1,Fremantle,11,9,75,Port Adelaide,10,8,68,7,2015,Regular,01,201501,Domain Stadium,42,10,12,45,42,10,12,45
14589,6/4/2015,R1,Hawthorn,17,21,123,Geelong,8,13,61,62,2015,Regular,01,201501,MCG,42,13,5,47,42,13,5,47
14590,10/4/2015,R2,West Coast,20,11,131,Carlton,9,8,62,69,2015,Regular,02,201502,Domain Stadium,35,10,7,55,35,10,7,55
14591,11/4/2015,R2,Richmond,9,12,66,Footscray,12,13,85,-19,2015,Regular,02,201502,MCG,48,7,10,46,48,7,10,46
14592,11/4/2015,R2,GWS,15,11,101,Melbourne,8,8,56,45,2015,Regular,02,201502,Manuka Oval,34,6,12,27,34,6,12,27
14593,11/4/2015,R2,Collingwood,9,9,63,Adelaide,12,18,90,-27,2015,Regular,02,201502,Marvel Stadium,58,17,17,41,58,17,17,41
14594,11/4/2015,R2,Gold Coast,10,16,76,St Kilda,16,8,104,-28,2015,Regular,02,201502,People First Stadium,54,15,7,42,54,15,7,42
14595,11/4/2015,R2,Port Adelaide,6,8,44,Sydney,14,8,92,-48,2015,Regular,02,201502,Adelaide Oval,52,5,17,50,52,5,17,50
14596,12/4/2015,R2,Geelong,9,6,60,Fremantle,15,14,104,-44,2015,Regular,02,201502,GMHBA Stadium,55,13,8,39,55,13,8,39
14597,12/4/2015,R2,Essendon,12,6,78,Hawthorn,11,10,76,2,2015,Regular,02,201502,MCG,58,8,12,59,58,8,12,59
14598,12/4/2015,R2,North Melbourne,20,13,133,Brisbane Lions,7,9,51,82,2015,Regular,02,201502,Marvel Stadium,44,6,11,31,44,6,11,31
14599,17/4/2015,R3,Collingwood,21,14,140,St Kilda,10,6,66,74,2015,Regular,03,201503,MCG,42,11,4,58,42,11,4,58
14600,18/4/2015,R3,Carlton,11,18,84,Essendon,16,9,105,-21,2015,Regular,03,201503,MCG,57,15,9,47,57,15,9,47
14601,18/4/2015,R3,Adelaide,12,8,80,Melbourne,7,13,55,25,2015,Regular,03,201503,Adelaide Oval,42,5,14,42,42,5,14,42
14602,18/4/2015,R3,Sydney,16,15,111,GWS,12,18,90,21,2015,Regular,03,201503,SCG,50,7,13,36,50,7,13,36
14603,18/4/2015,R3,North Melbourne,16,9,105,Port Adelaide,17,11,113,-8,2015,Regular,03,201503,Marvel Stadium,55,13,19,43,55,13,19,43
14604,18/4/2015,R3,Brisbane Lions,8,10,58,Richmond,21,11,137,-79,2015,Regular,03,201503,Gabba,57,23,5,41,57,23,5,41
14605,19/4/2015,R3,Hawthorn,19,13,127,Footscray,8,9,57,70,2015,Regular,03,201503,UTAS Stadium,41,9,10,60,41,9,10,60
14606,19/4/2015,R3,Geelong,16,9,105,Gold Coast,13,18,96,9,2015,Regular,03,201503,GMHBA Stadium,67,10,14,45,67,10,14,45
14607,19/4/2015,R3,West Coast,12,9,81,Fremantle,17,9,111,-30,2015,Regular,03,201503,Domain Stadium,52,17,6,32,52,17,6,32
14608,24/4/2015,R4,Richmond,6,15,51,Melbourne,12,11,83,-32,2015,Regular,04,201504,MCG,43,8,14,37,43,8,14,37
14609,25/4/2015,R4,St Kilda,12,9,81,Carlton,18,13,121,-40,2015,Regular,04,201504,Westpac Stadium,61,12,16,49,61,12,16,49
14610,25/4/2015,R4,Essendon,6,13,49,Collingwood,9,15,69,-20,2015,Regular,04,201504,MCG,61,7,4,55,61,7,4,55
14611,25/4/2015,R4,GWS,16,23,119,Gold Coast,7,11,53,66,2015,Regular,04,201504,Manuka Oval,51,6,9,57,51,6,9,57
14612,25/4/2015,R4,Port Adelaide,15,9,99,Hawthorn,13,13,91,8,2015,Regular,04,201504,Adelaide Oval,79,10,13,49,79,10,13,49
14613,25/4/2015,R4,Fremantle,11,8,74,Sydney,8,12,60,14,2015,Regular,04,201504,Domain Stadium,47,14,3,35,47,14,3,35
14614,26/4/2015,R4,Brisbane Lions,9,11,65,West Coast,17,16,118,-53,2015,Regular,04,201504,Gabba,71,14,23,44,71,14,23,44
14615,26/4/2015,R4,Geelong,9,13,67,North Melbourne,12,11,83,-16,2015,Regular,04,201504,GMHBA Stadium,50,7,9,54,50,7,9,54
14616,26/4/2015,R4,Footscray,18,17,125,Adelaide,10,8,68,57,2015,Regular,04,201504,Marvel Stadium,51,10,8,48,51,10,8,48
14617,1/5/2015,R5,Carlton,6,9,45,Collingwood,18,12,120,-75,2015,Regular,05,201505,MCG,60,17,11,46,60,17,11,46
