"RoundNumber","HomeTeam","AwayTeam","Winner","HomeProbability","VenueName","PredictedMargin"
0,"Sydney","Hawthorn","Hawthorn",0.488904993,"SCG",-2.787914873
0,"GWS","Collingwood","GWS",0.537604996,"ENGIE Stadium",9.429196798
1,"Richmond","Carlton","Carlton",0.407957909,"MCG",-22.81168068
1,"Hawthorn","Essendon","Hawthorn",0.580251724,"MCG",19.95646227
1,"Geelong","Fremantle","Geelong",0.536478438,"GMHBA Stadium",9.147976856
1,"Sydney","Brisbane Lions","Brisbane Lions",0.438500873,"SCG",-15.36043568
1,"Footscray","North Melbourne","Footscray",0.725022203,"Marvel Stadium",51.96008696
1,"Collingwood","Port Adelaide","Port Adelaide",0.474213428,"MCG",-6.473786042
1,"Adelaide","St Kilda","Adelaide",0.530208981,"Adelaide Oval",7.580953034
1,"Melbourne","GWS","Melbourne",0.517022497,"MCG",4.276181242
1,"West Coast","Gold Coast","Gold Coast",0.411384269,"Optus Stadium",-21.98498772
2,"Carlton","Hawthorn","Hawthorn",0.461754709,"MCG",-9.588979482
2,"Footscray","Collingwood","Footscray",0.536533842,"MCG",9.161810007
2,"Essendon","Adelaide","Essendon",0.520569212,"MCG",5.166009717
2,"Port Adelaide","Richmond","Port Adelaide",0.659155197,"Adelaide Oval",38.35409903
2,"St Kilda","Geelong","Geelong",0.448030719,"Marvel Stadium",-13.00335535
2,"Brisbane Lions","West Coast","Brisbane Lions",0.739989255,"Gabba",54.76179985
2,"North Melbourne","Melbourne","Melbourne",0.37453965,"Marvel Stadium",-30.72153415
2,"Fremantle","Sydney","Fremantle",0.559443596,"Optus Stadium",14.85311975
3,"Essendon","Port Adelaide","Port Adelaide",0.469738814,"Marvel Stadium",-7.594014446
3,"Carlton","Footscray","Footscray",0.457268015,"Marvel Stadium",-10.70748959
3,"Melbourne","Gold Coast","Melbourne",0.530309575,"MCG",7.60612098
3,"St Kilda","Richmond","St Kilda",0.577438888,"Marvel Stadium",19.27109841
3,"Hawthorn","GWS","Hawthorn",0.567723402,"University of Tasmania Stadium",16.89262597
3,"Brisbane Lions","Geelong","Brisbane Lions",0.565908173,"Gabba",16.44642367
3,"Adelaide","North Melbourne","Adelaide",0.658680832,"Adelaide Oval",38.24943041
3,"West Coast","Fremantle","Fremantle",0.333104879,"Optus Stadium",-40.04971412
4,"Collingwood","Carlton","Collingwood",0.530397169,"MCG",7.628035515
4,"Geelong","Melbourne","Geelong",0.594716477,"GMHBA Stadium",23.45510967
4,"Gold Coast","Adelaide","Gold Coast",0.531525959,"People First Stadium",7.910390294
4,"Richmond","Brisbane Lions","Brisbane Lions",0.379368126,"MCG",-29.59756135
4,"North Melbourne","Sydney","Sydney",0.399867001,"Marvel Stadium",-24.7531476
4,"GWS","West Coast","GWS",0.682800176,"ENGIE Stadium",43.45868237
4,"Port Adelaide","St Kilda","Port Adelaide",0.583491223,"Adelaide Oval",20.74385098
4,"Fremantle","Footscray","Fremantle",0.517983507,"Optus Stadium",4.517344183
5,"Adelaide","Geelong","Geelong",0.494206162,"Adelaide Oval",-1.456069965
5,"Collingwood","Sydney","Collingwood",0.52354701,"Adelaide Oval",5.912612958
5,"North Melbourne","Gold Coast","Gold Coast",0.360121692,"Barossa Park",-34.03466721
5,"Carlton","West Coast","Carlton",0.652779031,"Adelaide Oval",36.94016842
5,"Footscray","Brisbane Lions","Brisbane Lions",0.481333162,"Norwood Oval",-4.688799608
5,"Melbourne","Essendon","Melbourne",0.502525108,"Adelaide Oval",0.634622326
5,"Richmond","Fremantle","Fremantle",0.396035823,"Barossa Park",-25.66696168
5,"St Kilda","GWS","GWS",0.47839453,"Norwood Oval",-5.425878289
5,"Port Adelaide","Hawthorn","Port Adelaide",0.5201015,"Adelaide Oval",5.048700682
6,"Brisbane Lions","Collingwood","Brisbane Lions",0.570338774,"Gabba",17.53454202
