"RoundNumber","HomeTeam","AwayTeam","Winner","HomeProbability","VenueName","PredictedMargin"
24,"Essendon","Carlton","Carlton",0.273444411280951,"MCG",-19.0555643541882
24,"Collingwood","Melbourne","Collingwood",0.691706420041537,"MCG",10.4520009336248
24,"Port Adelaide","Gold Coast","Gold Coast",0.460033341930279,"Adelaide Oval",-10.0183449658573
24,"North Melbourne","Adelaide","Adelaide",0.205500671491494,"Marvel Stadium",-35.0820890698054
24,"Richmond","Geelong","Geelong",0.139889264349883,"MCG",-49.0545520533186
24,"West Coast","Sydney","Sydney",0.217300625508886,"Optus Stadium",-32.3933106810563
24,"GWS","St Kilda","GWS",0.719662268129043,"ENGIE Stadium",17.3686124430647
24,"Footscray","Fremantle","Footscray",0.763209143493029,"Marvel Stadium",27.8565069269667
24,"Brisbane Lions","Hawthorn","Brisbane Lions",0.694756157444046,"Gabba",11.2114223282346
24,"Gold Coast","Essendon","Gold Coast",0.797922369554949,"People First Stadium",35.8532167854896
